X1,X2,Y
91,12,1
98,22,1
57,9,1
39,33,0
73,13,1
55,3,1
52,22,1
87,18,1
49,34,0
58,28,1
77,26,1
90,5,1
96,14,1
84,6,1
37,35,0
71,14,1
78,9,1
37,10,1
51,35,0
46,12,1
64,10,1
47,27,0
77,6,1
75,10,1
61,12,1
92,4,1
54,14,1
54,12,1
81,31,1
44,36,0
45,18,1
56,3,1
77,6,1
88,27,1
47,34,0
48,7,1
76,18,1
79,30,1
37,31,0
47,25,0
38,13,1
97,12,1
54,24,1
60,15,1
96,8,1
89,32,1
61,15,1
49,18,1
66,14,1
44,12,1
99,32,1
77,14,1
76,34,1
79,19,1
59,25,1
46,28,0
96,33,1
80,7,1
95,12,1
47,29,0
80,14,1
83,23,1
90,30,1
74,7,1
46,33,0
62,10,1
37,21,0
75,36,1
52,22,1
99,7,1
62,9,1
96,3,1
55,19,1
88,26,1
94,8,1
89,7,1
55,10,1
79,33,1
100,31,1
39,24,0
87,3,1
67,10,1
75,29,1
60,19,1
66,34,0
85,30,1
63,32,0
99,35,1
55,19,1
40,24,0
81,7,1
57,25,1
74,18,1
86,4,1
99,15,1
86,19,1
45,22,1
93,13,1
59,12,1
60,12,1
42,26,0
38,34,0
94,22,1
80,10,1
87,36,1
78,18,1
96,15,1
89,14,1
51,35,0
39,25,0
99,17,1
96,32,1
65,4,1
66,17,1
97,17,1
91,22,1
97,8,1
54,19,1
98,30,1
45,31,0
65,9,1
45,19,1
77,20,1
90,12,1
85,12,1
63,18,1
67,23,1
97,22,1
50,22,1
80,3,1
78,35,1
98,22,1
97,26,1
45,18,1
69,11,1
55,12,1
42,9,1
54,35,0
57,10,1
48,36,0
95,20,1
93,18,1
82,27,1
78,7,1
44,28,0
48,34,0
65,16,1
66,30,1
77,4,1
50,28,0
42,5,1
99,22,1
71,26,1
62,8,1
98,21,1
84,31,1
67,35,0
62,27,1
93,27,1
60,7,1
92,7,1
40,22,0
82,26,1
93,35,1
79,26,1
96,13,1
76,13,1
62,3,1
68,32,1
82,17,1
96,25,1
97,13,1
67,16,1
78,31,1
79,6,1
93,18,1
59,25,1
53,11,1
75,10,1
55,23,1
82,5,1
78,25,1
84,14,1
70,10,1
41,4,1
37,6,1
76,27,1
51,26,0
39,11,1
74,3,1
61,6,1
66,9,1
74,36,1
97,21,1
46,10,1
70,32,1
59,31,0
73,26,1
40,11,1
95,26,1
