X1,X2,Y
75,70,1
56,10,1
59,9,1
5,15,0
41,77,0
30,37,0
91,82,1
9,9,1
88,32,1
45,27,1
98,87,1
42,19,1
71,85,0
84,3,1
96,34,1
89,54,1
76,89,0
68,15,1
16,16,1
90,45,1
64,59,1
49,84,0
2,88,0
46,25,1
39,4,1
33,10,1
93,40,1
18,75,0
13,28,0
8,82,0
69,50,1
9,44,0
77,95,0
94,12,1
71,69,1
25,60,0
99,11,1
64,29,1
18,48,0
4,25,0
95,86,1
2,12,0
40,24,1
69,70,0
5,34,0
75,47,1
71,76,0
43,100,0
7,46,0
95,67,1
79,96,0
82,64,1
79,68,1
91,50,1
2,62,0
19,67,0
51,38,1
77,36,1
59,28,1
75,59,1
93,22,1
90,94,0
97,87,1
92,92,1
44,79,0
67,60,1
7,71,0
58,36,1
98,95,1
98,1,1
17,86,0
75,23,1
42,81,0
43,90,0
9,3,1
33,73,0
34,8,1
66,11,1
76,75,1
35,35,1
18,87,0
83,88,0
59,46,1
73,78,0
18,23,0
48,74,0
60,51,1
9,79,0
13,54,0
39,99,0
2,80,0
10,8,1
64,12,1
53,62,0
82,49,1
13,99,0
13,96,0
8,37,0
81,15,1
39,19,1
90,82,1
38,37,1
49,83,0
48,35,1
92,61,1
98,46,1
6,9,0
10,86,0
99,79,1
79,38,1
88,58,1
52,90,0
20,26,0
50,53,0
68,61,1
12,6,1
36,75,0
26,32,0
99,85,1
71,86,0
90,56,1
86,26,1
86,56,1
65,87,0
53,39,1
73,35,1
78,65,1
79,49,1
62,38,1
78,95,0
63,41,1
57,66,0
18,37,0
74,12,1
44,89,0
61,4,1
76,20,1
42,52,0
12,20,0
95,38,1
23,37,0
35,36,0
11,4,1
10,61,0
21,46,0
63,79,0
29,85,0
36,92,0
86,52,1
22,47,0
65,81,0
7,57,0
24,5,1
47,42,1
43,10,1
53,9,1
57,93,0
52,63,0
10,89,0
46,3,1
59,10,1
75,52,1
72,68,1
87,24,1
8,32,0
95,50,1
71,69,1
19,81,0
99,86,1
73,100,0
95,10,1
41,25,1
16,67,0
70,15,1
98,3,1
42,98,0
13,97,0
1,49,0
11,77,0
93,26,1
17,81,0
31,80,0
47,26,1
65,83,0
45,43,1
64,98,0
14,90,0
96,78,1
19,65,0
10,38,0
61,8,1
18,47,0
73,25,1
6,37,0
65,74,0
17,76,0
96,59,1
100,73,1
19,73,0
2,90,0
