X1,X2,Y
55,71,0
91,83,1
5,23,0
70,79,0
24,9,1
66,77,0
4,31,0
54,2,1
14,83,0
51,36,1
9,64,0
53,83,0
44,61,0
77,15,1
38,13,1
91,65,1
46,32,1
13,92,0
82,83,0
8,97,0
15,93,0
47,79,0
56,79,0
16,67,0
8,14,0
43,16,1
94,65,1
83,55,1
29,100,0
80,7,1
42,90,0
80,53,1
73,9,1
81,56,1
58,89,0
88,9,1
30,83,0
59,93,0
26,56,0
1,32,0
92,52,1
33,94,0
73,33,1
15,100,0
67,6,1
84,24,1
47,27,1
5,23,0
68,96,0
59,20,1
70,61,1
87,48,1
12,72,0
20,32,0
37,39,0
55,29,1
7,86,0
86,13,1
4,62,0
54,31,1
42,47,0
32,68,0
56,30,1
18,46,0
53,43,1
97,78,1
14,61,0
76,78,0
18,82,0
1,65,0
53,69,0
39,86,0
26,8,1
87,100,0
52,29,1
78,2,1
44,19,1
63,70,0
80,49,1
96,56,1
60,13,1
31,75,0
78,53,1
85,97,0
27,84,0
40,70,0
50,73,0
40,63,0
40,19,1
32,64,0
33,42,0
45,99,0
99,68,1
17,4,1
90,64,1
51,59,0
66,16,1
32,14,1
57,14,1
22,46,0
27,32,0
